series,date,twd_predawn,mds,n_obs,mds_max,twd_norm,mds_norm,drought_stress_onset
J20,2025-04-09,0,0,72,690.1600000000001,0,0,FALSE
J20,2025-04-10,0,13,96,690.1600000000001,0,0.0188362118928944,FALSE
J20,2025-04-11,12,36,96,690.1600000000001,0.017387272516517907,0.05216181754955372,FALSE
J20,2025-04-12,37,56,96,690.1600000000001,0.05361075692593021,0.08114060507708357,FALSE
J20,2025-04-13,58,86,96,690.1600000000001,0.08403848382983654,0.12460878636837833,FALSE
J20,2025-04-14,86,102,96,690.1600000000001,0.12460878636837833,0.1477918163904022,FALSE
J20,2025-04-15,97,104,96,690.1600000000001,0.14054711950851975,0.1506896951431552,FALSE
J20,2025-04-16,95,102,96,690.1600000000001,0.13764924075576676,0.1477918163904022,FALSE
J20,2025-04-17,95,130,96,690.1600000000001,0.13764924075576676,0.188362118928944,FALSE
J20,2025-04-18,130,208,96,690.1600000000001,0.188362118928944,0.3013793902863104,FALSE
J20,2025-04-19,202,231,96,690.1600000000001,0.2926857540280514,0.3347049959429697,FALSE
J20,2025-04-20,183,209,96,690.1600000000001,0.2651559058768981,0.30282832966268686,FALSE
J20,2025-04-21,185,230,96,690.1600000000001,0.26805378462965107,0.33325605656659324,FALSE
J20,2025-04-22,222,253,96,690.1600000000001,0.3216645415555813,0.36658166222325256,FALSE
J20,2025-04-23,255,294,96,690.1600000000001,0.3694795409760055,0.42598817665468874,FALSE
J20,2025-04-24,294,319,96,690.1600000000001,0.42598817665468874,0.462211661064101,FALSE
J20,2025-04-25,320,358,96,690.1600000000001,0.4636606004404775,0.5187202967427842,FALSE
J20,2025-04-26,336,376,96,690.1600000000001,0.4868436304625014,0.5448012055175611,FALSE
J20,2025-04-27,347,388,96,690.1600000000001,0.5027819636026428,0.562188478034079,FALSE
J20,2025-04-28,388,440,96,690.1600000000001,0.562188478034079,0.6375333256056566,FALSE
J20,2025-04-29,435,444,96,690.1600000000001,0.6302886287237741,0.6433290831111625,FALSE
J20,2025-04-30,436,448,96,690.1600000000001,0.6317375681001506,0.6491248406166685,FALSE
J20,2025-05-01,437,444,96,690.1600000000001,0.6331865074765272,0.6433290831111625,FALSE
J20,2025-05-02,439,466,96,690.1600000000001,0.6360843862292801,0.6752057493914454,FALSE
J20,2025-05-03,450,457,96,690.1600000000001,0.6520227193694215,0.662165295004057,FALSE
J20,2025-05-04,448,458,96,690.1600000000001,0.6491248406166685,0.6636142343804334,FALSE
J20,2025-05-05,430,457,96,690.1600000000001,0.6230439318418917,0.662165295004057,FALSE
J20,2025-05-06,434,480,96,690.1600000000001,0.6288396893473976,0.6954909006607163,FALSE
J20,2025-05-07,453,462,96,690.1600000000001,0.656369537498551,0.6694099918859394,FALSE
J20,2025-05-08,391,457,96,690.1600000000001,0.5665352961632084,0.662165295004057,FALSE
J20,2025-05-09,388,406,96,690.1600000000001,0.562188478034079,0.5882693868088559,FALSE
J20,2025-05-10,406,456,96,690.1600000000001,0.5882693868088559,0.6607163556276805,FALSE
J20,2025-05-11,451,474,96,690.1600000000001,0.653471658745798,0.6867972644024574,FALSE
J20,2025-05-12,467,483,96,690.1600000000001,0.6766546887678219,0.6998377187898458,FALSE
J20,2025-05-13,484,586,93,690.1600000000001,0.7012866581662223,0.8490784745566244,FALSE
J20,2025-05-14,581,603,96,690.1600000000001,0.841833777674742,0.8737104439550248,FALSE
J20,2025-05-15,601,637,96,690.1600000000001,0.8708125652022718,0.9229743827518255,FALSE
J20,2025-05-16,625,634,96,690.1600000000001,0.9055871102353077,0.9186275646226961,FALSE
J20,2025-05-17,623,634,96,690.1600000000001,0.9026892314825546,0.9186275646226961,FALSE
J20,2025-05-18,625,647,96,690.1600000000001,0.9055871102353077,0.9374637765155904,FALSE
J20,2025-05-19,648,684,96,690.1600000000001,0.938912715891967,0.9910745334415207,FALSE
J20,2025-05-20,650,661,96,690.1600000000001,0.94181059464472,0.9577489277848613,FALSE
J20,2025-05-21,655,676,96,690.1600000000001,0.9490552915266024,0.9794830184305088,FALSE
J20,2025-05-22,661,677,96,690.1600000000001,0.9577489277848613,0.9809319578068852,FALSE
J20,2025-05-23,659,682,96,690.1600000000001,0.9548510490321084,0.9881766546887677,FALSE
J20,2025-05-24,661,682,96,690.1600000000001,0.9577489277848613,0.9881766546887677,FALSE
J20,2025-05-25,670,690,96,690.1600000000001,0.9707893821722497,0.9997681696997797,FALSE
J20,2025-05-26,659,696,96,690.1600000000001,0.9548510490321084,1.0084618059580386,FALSE
J20,2025-05-27,657,681,96,690.1600000000001,0.9519531702793554,0.9867277153123912,FALSE
J20,2025-05-28,666,686,96,690.1600000000001,0.9649936246667439,0.9939724121942737,FALSE
J20,2025-05-29,664,689,96,690.1600000000001,0.9620957459139908,0.9983192303234032,FALSE
J20,2025-05-30,653,688,96,690.1600000000001,0.9461574127738495,0.9968702909470266,FALSE
J20,2025-05-31,651,674,96,690.1600000000001,0.9432595340210964,0.9765851396777557,FALSE
J20,2025-06-01,661,681,96,690.1600000000001,0.9577489277848613,0.9867277153123912,FALSE
J20,2025-06-02,603,691,96,690.1600000000001,0.8737104439550248,1.0012171090761561,FALSE
J20,2025-06-03,495,599,96,690.1600000000001,0.7172249913063636,0.8679146864495189,FALSE
J20,2025-06-04,496,570,96,690.1600000000001,0.7186739306827401,0.8258954445346006,FALSE
J20,2025-06-05,549,586,96,690.1600000000001,0.7954677176306942,0.8490784745566244,FALSE
J20,2025-06-06,556,595,96,690.1600000000001,0.8056102932653297,0.8621189289440129,FALSE
J20,2025-06-07,558,597,96,690.1600000000001,0.8085081720180827,0.8650168076967658,FALSE
J20,2025-06-08,593,610,96,690.1600000000001,0.8592210501912599,0.8838530195896602,FALSE
J20,2025-06-09,575,609,96,690.1600000000001,0.8331401414164831,0.8824040802132838,FALSE
J20,2025-06-10,443,595,96,690.1600000000001,0.6418801437347861,0.8621189289440129,FALSE
J20,2025-06-11,480,555,96,690.1600000000001,0.6954909006607163,0.8041613538889532,FALSE
J20,2025-06-12,557,620,96,690.1600000000001,0.8070592326417062,0.8983424133534252,FALSE
J20,2025-06-13,601,640,96,690.1600000000001,0.8708125652022718,0.927321200880955,FALSE
J20,2025-06-14,610,631,96,690.1600000000001,0.8838530195896602,0.9142807464935666,FALSE
J20,2025-06-15,593,627,96,690.1600000000001,0.8592210501912599,0.9084849889880606,FALSE
J20,2025-06-16,565,619,96,690.1600000000001,0.8186507476527181,0.8968934739770487,FALSE
J20,2025-06-17,578,600,96,690.1600000000001,0.8374869595456125,0.8693636258258953,FALSE
J20,2025-06-18,565,617,96,690.1600000000001,0.8186507476527181,0.8939955952242957,FALSE
J20,2025-06-19,566,598,96,690.1600000000001,0.8200996870290946,0.8664657470731424,FALSE
J20,2025-06-20,568,606,96,690.1600000000001,0.8229975657818476,0.8780572620841542,FALSE
J20,2025-06-21,584,605,96,690.1600000000001,0.8461805958038715,0.8766083227077778,FALSE
J20,2025-06-22,584,611,96,690.1600000000001,0.8461805958038715,0.8853019589660368,FALSE
J20,2025-06-23,598,620,96,690.1600000000001,0.8664657470731424,0.8983424133534252,FALSE
J20,2025-06-24,423,627,96,690.1600000000001,0.6129013562072562,0.9084849889880606,FALSE
J20,2025-06-25,268,471,96,690.1600000000001,0.3883157528688999,0.6824504462733278,FALSE
J20,2025-06-26,142,274,96,690.1600000000001,0.2057493914454619,0.3970093891271589,FALSE
J20,2025-06-27,143,228,96,690.1600000000001,0.2071983308218384,0.33035817781384025,FALSE
J20,2025-06-28,192,288,96,690.1600000000001,0.2781963602642865,0.41729454039642977,FALSE
J20,2025-06-29,230,319,96,690.1600000000001,0.33325605656659324,0.462211661064101,FALSE
