"species","dendro","hour","species_hour_mean","species_hour_sd","species_hour_low_ci","species_hour_high_ci"
"Juniper","TOMST",0,0,NA,NA,NA
"Juniper","TOMST",1,9.25943097900146,43.1347527430699,6.7936778885877,11.7251840694152
"Juniper","TOMST",2,11.4889483460653,42.602576812115,9.05361653693742,13.9242801551931
"Juniper","TOMST",3,10.0541632462084,38.9578152758419,7.8271804236951,12.2811460687217
"Juniper","TOMST",4,13.1957558997982,44.4205920965967,10.6564991456769,15.7350126539195
"Juniper","TOMST",5,14.1718364695892,47.2212450316388,11.4724833154517,16.8711896237268
"Juniper","TOMST",6,18.1348302584131,51.0496869915903,15.2166282180782,21.053032298748
"Juniper","TOMST",7,14.2647443077973,55.9358527570701,11.072655764855,17.4568328507395
"Juniper","TOMST",8,4.69243813796141,55.1197979503667,1.54558518189322,7.83929109402961
"Juniper","TOMST",9,-2.85203675733021,74.0656214104802,-7.08412103151694,1.38004751685652
"Juniper","TOMST",10,-10.8361794222035,71.1370020966876,-14.9061153980169,-6.76624344639013
"Juniper","TOMST",11,-13.2207574899151,56.2056513745846,-16.4405493999178,-10.0009655799124
"Juniper","TOMST",12,-14.8038499252849,51.892027362356,-17.7790747152242,-11.8286251353456
"Juniper","TOMST",13,-18.2271396144227,52.3052365582996,-21.2260557169912,-15.2282235118542
"Juniper","TOMST",14,-21.5006663032861,66.5131605713409,-25.3158252135127,-17.6855073930594
"Juniper","TOMST",15,-19.6916138326805,70.032233744186,-23.7103462150753,-15.6728814502857
"Juniper","TOMST",16,-10.0432510444248,64.2797604208576,-13.7303033301726,-6.35619875867704
"Juniper","TOMST",17,-11.3134895133973,59.7345314356078,-14.7383635793421,-7.88861544745254
"Juniper","TOMST",18,-11.5299135508672,61.069357667475,-15.0328188713411,-8.02700823039323
"Juniper","TOMST",19,-13.3316303633104,58.7541032438414,-16.7017339424764,-9.9615267841444
"Juniper","TOMST",20,1.01142649906352,41.9067902361002,-1.39129560517402,3.41414860330106
"Juniper","TOMST",21,5.27980729484608,39.5242836497462,3.01368599458978,7.54592859510238
"Juniper","TOMST",22,5.39785176688525,38.4303176060522,3.19445291279245,7.60125062097806
"Juniper","TOMST",23,4.93640519436828,35.142656987493,2.92150407047479,6.95130631826178
"Pinon","TOMST",0,0,NA,NA,NA
"Pinon","TOMST",1,55.5082555107276,180.499613891428,43.8673300190441,67.1491810024112
"Pinon","TOMST",2,50.0415676462738,226.827329450081,35.4128380624297,64.6702972301178
"Pinon","TOMST",3,52.020245921604,194.21469507934,39.4880099883799,64.5524818548282
"Pinon","TOMST",4,70.1316690827317,234.56839662427,54.9954998666353,85.2678382988282
"Pinon","TOMST",5,53.1274450622205,204.608281376074,39.9245344634681,66.3303556609728
"Pinon","TOMST",6,59.392516682028,173.351959780279,48.206505970708,70.578527393348
"Pinon","TOMST",7,50.735422243087,222.434427424437,36.3977631351204,65.0730813510536
"Pinon","TOMST",8,9.82086237937939,191.692513530934,-2.52856048790981,22.1702852466686
"Pinon","TOMST",9,-31.0653528416528,202.733475961092,-44.1402023521491,-17.9905033311566
"Pinon","TOMST",10,-73.4152567705341,190.293650435764,-85.7211828001486,-61.1093307409196
"Pinon","TOMST",11,-109.320594795678,209.292701743237,-122.862526248314,-95.778663343042
"Pinon","TOMST",12,-89.9758965537363,185.377399468173,-101.970428687712,-77.9813644197603
"Pinon","TOMST",13,-78.2461457221267,181.52040591498,-89.9911175901423,-66.501173854111
"Pinon","TOMST",14,-74.1395399845539,191.963493266673,-86.5534515528933,-61.7256284162144
"Pinon","TOMST",15,-48.0312336104211,168.411789322638,-58.9221015777629,-37.1403656430793
"Pinon","TOMST",16,-27.9025275856292,153.823292187521,-37.8499853749809,-17.9550697962775
"Pinon","TOMST",17,-20.3640696437905,146.279999466394,-29.8237171355661,-10.9044221520149
"Pinon","TOMST",18,-12.9825207812842,117.886820343155,-20.6060357419109,-5.35900582065745
"Pinon","TOMST",19,9.83751706075239,126.793404923143,1.63803032825176,18.037003793253
"Pinon","TOMST",20,25.5079585923393,167.76576891629,14.6588675277787,36.3570496568998
"Pinon","TOMST",21,51.7015416400223,169.554556147828,40.7367731300839,62.6663101499607
"Pinon","TOMST",22,46.2438345328088,143.470806641337,36.9658521624333,55.5218169031842
"Pinon","TOMST",23,63.0092285527803,184.44599000521,51.0814595270381,74.9369975785225
