Index,Date_time,tz,temp,,,increment,,,,,
0,2024.05.08 06:15,4,21,-200,-200,1,206,0,,,
1,2024.05.08 06:30,4,21,-200,-200,0,206,0,,,
2,2024.05.08 06:45,4,21,-200,-200,1,206,0,,,
3,2024.05.08 07:00,4,21,-200,-200,0,206,0,,,
4,2024.05.08 07:15,4,21,-200,-200,0,206,0,,,
5,2024.05.08 07:30,4,21.0625,-200,-200,0,206,0,,,
6,2024.05.08 07:45,4,21.125,-200,-200,1,206,0,,,
7,2024.05.08 08:00,4,21.1875,-200,-200,0,206,0,,,
8,2024.05.08 08:15,4,21.25,-200,-200,1,206,0,,,
9,2024.05.08 08:30,4,21.25,-200,-200,1,206,0,,,
10,2024.05.08 08:45,4,21.3125,-200,-200,1,206,0,,,
11,2024.05.08 09:00,4,21.375,-200,-200,0,206,0,,,
12,2024.05.08 09:15,4,21.375,-200,-200,0,206,0,,,
13,2024.05.08 09:30,4,21.5,-200,-200,0,206,0,,,
14,2024.05.08 09:45,4,21.5,-200,-200,1,206,0,,,
15,2024.05.08 10:00,4,21.625,-200,-200,1,206,0,,,
16,2024.05.08 10:15,4,21.625,-200,-200,0,206,0,,,
17,2024.05.08 10:30,4,21.875,-200,-200,0,206,0,,,
18,2024.05.08 10:45,4,22,-200,-200,0,206,0,,,
19,2024.05.08 11:00,4,22,-200,-200,1,206,0,,,
20,2024.05.08 11:15,4,22.0625,-200,-200,0,206,0,,,
21,2024.05.08 11:30,4,22.0625,-200,-200,1,206,0,,,
22,2024.05.08 11:45,4,22.0625,-200,-200,1,206,0,,,
23,2024.05.08 12:00,4,22.0625,-200,-200,0,206,0,,,
24,2024.05.08 12:15,4,22.0625,-200,-200,0,206,0,,,
25,2024.05.08 12:30,4,22.125,-200,-200,1,206,0,,,
26,2024.05.08 12:45,4,22.125,-200,-200,0,206,0,,,
27,2024.05.08 13:00,4,22.0625,-200,-200,1,206,0,,,
28,2024.05.08 13:15,4,22.0625,-200,-200,1,206,0,,,
29,2024.05.08 13:30,4,22.0625,-200,-200,1,206,0,,,
30,2024.05.08 13:45,4,22.125,-200,-200,0,206,0,,,
31,2024.05.08 14:00,4,22.125,-200,-200,0,206,0,,,
32,2024.05.08 14:15,4,22.125,-200,-200,0,206,0,,,
33,2024.05.08 14:30,4,22.125,-200,-200,1,206,0,,,
34,2024.05.08 14:45,4,22.125,-200,-200,0,206,0,,,
35,2024.05.08 15:00,4,22.0625,-200,-200,0,206,0,,,
36,2024.05.08 15:15,4,22.125,-200,-200,1,206,0,,,
37,2024.05.08 15:30,4,22.125,-200,-200,0,206,0,,,
38,2024.05.08 15:45,4,22.125,-200,-200,0,206,0,,,
39,2024.05.08 16:00,4,22.1875,-200,-200,0,206,0,,,
40,2024.05.08 16:15,4,22.25,-200,-200,0,206,0,,,
41,2024.05.08 16:30,4,22.25,-200,-200,0,206,0,,,
42,2024.05.08 16:45,4,22.25,-200,-200,0,206,0,,,
43,2024.05.08 17:00,4,22.375,-200,-200,0,206,0,,,
44,2024.05.08 17:15,4,22.375,-200,-200,0,206,0,,,
45,2024.05.08 17:30,4,22.375,-200,-200,1,206,0,,,
46,2024.05.08 17:45,4,22.375,-200,-200,0,206,0,,,
47,2024.05.08 18:00,4,22.375,-200,-200,0,206,0,,,
48,2024.05.08 18:15,4,22.3125,-200,-200,0,206,0,,,
49,2024.05.08 18:30,4,22.25,-200,-200,1,206,0,,,
50,2024.05.08 18:45,4,22.25,-200,-200,1,206,0,,,
51,2024.05.08 19:00,4,22.125,-200,-200,1,206,0,,,
52,2024.05.08 19:15,4,22.125,-200,-200,0,206,0,,,
53,2024.05.08 19:30,4,22.0625,-200,-200,0,206,0,,,
54,2024.05.08 19:45,4,22,-200,-200,1,206,0,,,
55,2024.05.08 20:00,4,22,-200,-200,0,206,0,,,
56,2024.05.08 20:15,4,21.9375,-200,-200,0,206,0,,,
57,2024.05.08 20:30,4,21.875,-200,-200,0,206,0,,,
58,2024.05.08 20:45,4,21.875,-200,-200,0,206,0,,,
59,2024.05.08 21:00,4,21.8125,-200,-200,0,206,0,,,
60,2024.05.08 21:15,4,21.75,-200,-200,1,206,0,,,
61,2024.05.08 21:30,4,21.75,-200,-200,0,206,0,,,
62,2024.05.08 21:45,4,21.6875,-200,-200,1,206,0,,,
63,2024.05.08 22:00,4,21.625,-200,-200,0,206,0,,,
64,2024.05.08 22:15,4,21.625,-200,-200,0,206,0,,,
65,2024.05.08 22:30,4,21.5625,-200,-200,1,206,0,,,
66,2024.05.08 22:45,4,21.5,-200,-200,0,206,0,,,
67,2024.05.08 23:00,4,21.5,-200,-200,0,206,0,,,
68,2024.05.08 23:15,4,21.5,-200,-200,1,206,0,,,
69,2024.05.08 23:30,4,21.4375,-200,-200,0,206,0,,,
70,2024.05.08 23:45,4,21.375,-200,-200,0,206,0,,,
71,2024.05.09 00:00,4,21.375,-200,-200,0,206,0,,,
72,2024.05.09 00:15,4,21.375,-200,-200,0,206,0,,,
73,2024.05.09 00:30,4,21.375,-200,-200,1,206,0,,,
74,2024.05.09 00:45,4,21.3125,-200,-200,1,206,0,,,
75,2024.05.09 01:00,4,21.25,-200,-200,0,206,0,,,
76,2024.05.09 01:15,4,21.25,-200,-200,0,206,0,,,
77,2024.05.09 01:30,4,21.25,-200,-200,0,206,0,,,
78,2024.05.09 01:45,4,21.1875,-200,-200,0,206,0,,,
79,2024.05.09 02:00,4,21.1875,-200,-200,0,206,0,,,
80,2024.05.09 02:15,4,21.125,-200,-200,0,206,0,,,
81,2024.05.09 02:30,4,21.125,-200,-200,0,206,0,,,
82,2024.05.09 02:45,4,21.125,-200,-200,0,206,0,,,
83,2024.05.09 03:00,4,21.125,-200,-200,0,206,0,,,
84,2024.05.09 03:15,4,21.0625,-200,-200,0,206,0,,,
85,2024.05.09 03:30,4,21,-200,-200,1,206,0,,,
86,2024.05.09 03:45,4,21,-200,-200,0,206,0,,,
87,2024.05.09 04:00,4,21,-200,-200,1,206,0,,,
88,2024.05.09 04:15,4,21,-200,-200,1,206,0,,,
89,2024.05.09 04:30,4,21,-200,-200,1,206,0,,,
90,2024.05.09 04:45,4,20.9375,-200,-200,0,206,0,,,
91,2024.05.09 05:00,4,20.9375,-200,-200,0,206,0,,,
92,2024.05.09 05:15,4,20.875,-200,-200,0,206,0,,,
93,2024.05.09 05:30,4,20.875,-200,-200,0,206,0,,,
94,2024.05.09 05:45,4,20.875,-200,-200,0,206,0,,,
95,2024.05.09 06:00,4,20.875,-200,-200,1,206,0,,,
96,2024.05.09 06:15,4,20.875,-200,-200,1,206,0,,,
97,2024.05.09 06:30,4,20.875,-200,-200,0,206,0,,,
98,2024.05.09 06:45,4,20.8125,-200,-200,1,206,0,,,
99,2024.05.09 07:00,4,21,-200,-200,0,206,0,,,
100,2024.05.09 07:15,4,21,-200,-200,1,206,0,,,
101,2024.05.09 07:30,4,21.0625,-200,-200,1,206,0,,,
102,2024.05.09 07:45,4,21.125,-200,-200,0,206,0,,,
103,2024.05.09 08:00,4,21.125,-200,-200,1,206,0,,,
104,2024.05.09 08:15,4,21.25,-200,-200,1,206,0,,,
105,2024.05.09 08:30,4,21.9375,-200,-200,0,206,0,,,
106,2024.05.09 08:45,4,23.4375,-200,-200,0,206,0,,,
107,2024.05.09 09:00,4,23.125,-200,-200,0,206,0,,,
108,2024.05.09 09:15,4,23,-200,-200,0,206,0,,,
109,2024.05.09 09:30,4,22.875,-200,-200,0,206,0,,,
110,2024.05.09 09:45,4,22.75,-200,-200,0,206,0,,,
111,2024.05.09 10:00,4,22.75,-200,-200,1,206,0,,,
112,2024.05.09 10:15,4,22.75,-200,-200,0,206,0,,,
113,2024.05.09 10:30,4,22.625,-200,-200,0,206,0,,,
114,2024.05.09 10:45,4,22.625,-200,-200,0,206,0,,,
115,2024.05.09 11:00,4,22.75,-200,-200,0,206,0,,,
116,2024.05.09 11:15,4,22.875,-200,-200,0,206,0,,,
117,2024.05.09 11:30,4,22.8125,-200,-200,0,206,0,,,
118,2024.05.09 11:45,4,22.75,-200,-200,1,206,0,,,
119,2024.05.09 12:00,4,22.75,-200,-200,0,206,0,,,
120,2024.05.09 12:15,4,22.75,-200,-200,1,206,0,,,
121,2024.05.09 12:30,4,22.6875,-200,-200,0,206,0,,,
122,2024.05.09 12:45,4,22.625,-200,-200,0,206,0,,,
123,2024.05.09 13:00,4,22.625,-200,-200,0,206,0,,,
124,2024.05.09 13:15,4,22.5625,-200,-200,0,206,0,,,
125,2024.05.09 13:30,4,22.5,-200,-200,0,206,0,,,
126,2024.05.09 13:45,4,22.5,-200,-200,0,206,0,,,
127,2024.05.09 14:00,4,22.5,-200,-200,0,206,0,,,
128,2024.05.09 14:15,4,22.375,-200,-200,0,206,0,,,
129,2024.05.09 14:30,4,22.375,-200,-200,0,206,0,,,
130,2024.05.09 14:45,4,22.25,-200,-200,0,206,0,,,
131,2024.05.09 15:00,4,22.25,-200,-200,0,206,0,,,
132,2024.05.09 15:15,4,22.25,-200,-200,1,206,0,,,
133,2024.05.09 15:30,4,22.5,-200,-200,0,206,0,,,
134,2024.05.09 15:45,4,22.5,-200,-200,1,206,0,,,
135,2024.05.09 16:00,4,22.5625,-200,-200,0,206,0,,,
136,2024.05.09 16:15,4,22.5625,-200,-200,0,206,0,,,
137,2024.05.09 16:30,4,22.5,-200,-200,1,206,0,,,
138,2024.05.09 16:45,4,22.375,-200,-200,0,206,0,,,
139,2024.05.09 17:00,4,22.375,-200,-200,1,206,0,,,
140,2024.05.09 17:15,4,22.3125,-200,-200,0,206,0,,,
141,2024.05.09 17:30,4,22.25,-200,-200,1,206,0,,,
142,2024.05.09 17:45,4,22.25,-200,-200,0,206,0,,,
143,2024.05.09 18:00,4,22.25,-200,-200,1,206,0,,,
144,2024.05.09 18:15,4,22.25,-200,-200,0,206,0,,,
