date;filename;fileSize;dataCount
2024.11.14 12:06:29;C:\Program Files (x86)\Lolly\DATA\data_92245520_2024_11_14_0.csv;984340;18293
2024.11.14 12:10:03;C:\Program Files (x86)\Lolly\DATA\data_92245517_2024_11_14_0.csv;984514;18292
2024.11.14 12:11:12;C:\Program Files (x86)\Lolly\DATA\data_92245516_2024_11_14_0.csv;984314;18292
2024.11.14 12:12:25;C:\Program Files (x86)\Lolly\DATA\data_92245519_2024_11_14_0.csv;984246;18292
2024.11.14 12:13:39;C:\Program Files (x86)\Lolly\DATA\data_92245518_2024_11_14_0.csv;984279;18292
2024.11.14 12:18:54;C:\Program Files (x86)\Lolly\DATA\data_92245471_2024_11_14_0.csv;980459;18363
2024.11.14 12:19:57;C:\Program Files (x86)\Lolly\DATA\data_92245472_2024_11_14_0.csv;981271;18363
2024.11.14 12:22:02;C:\Program Files (x86)\Lolly\DATA\data_92245475_2024_11_14_0.csv;981011;18363
2024.11.14 12:22:48;C:\Program Files (x86)\Lolly\DATA\data_92245474_2024_11_14_0.csv;980448;18363
2024.11.14 12:23:49;C:\Program Files (x86)\Lolly\DATA\data_92245473_2024_11_14_0.csv;980257;18363
2024.11.14 12:26:49;C:\Program Files (x86)\Lolly\DATA\data_92245478_2024_11_14_0.csv;980726;18362
2024.11.14 12:27:36;C:\Program Files (x86)\Lolly\DATA\data_92245477_2024_11_14_0.csv;980730;18363
2024.11.14 12:28:26;C:\Program Files (x86)\Lolly\DATA\data_92245476_2024_11_14_0.csv;980842;18363
2024.11.14 12:30:01;C:\Program Files (x86)\Lolly\DATA\data_92245480_2024_11_14_0.csv;980237;18362
2024.11.14 12:31:09;C:\Program Files (x86)\Lolly\DATA\data_92245479_2024_11_14_0.csv;980383;18363
2024.11.15 12:32:31;C:\Program Files (x86)\Lolly\DATA\data_92245500_2024_11_15_0.csv;995902;18390
2024.11.15 12:35:25;C:\Program Files (x86)\Lolly\DATA\data_92245505_2024_11_15_0.csv;982738;18390
2024.11.15 12:36:40;C:\Program Files (x86)\Lolly\DATA\data_92245502_2024_11_15_0.csv;956361;18390
2024.11.15 12:37:35;C:\Program Files (x86)\Lolly\DATA\data_92245521_2024_11_15_0.csv;982844;18390
2024.11.15 12:38:37;C:\Program Files (x86)\Lolly\DATA\data_92245504_2024_11_15_0.csv;982859;18390
2024.11.15 12:39:39;C:\Program Files (x86)\Lolly\DATA\data_92245503_2024_11_15_0.csv;982188;18390
2024.11.15 12:47:21;C:\Program Files (x86)\Lolly\DATA\data_92245501_2024_11_15_0.csv;988495;18391
2024.11.15 12:53:05;C:\Program Files (x86)\Lolly\DATA\data_92245487_2024_11_15_0.csv;949634;17927
2024.11.15 12:53:53;C:\Program Files (x86)\Lolly\DATA\data_92245488_2024_11_15_0.csv;983069;18391
2024.11.15 12:55:01;C:\Program Files (x86)\Lolly\DATA\data_92245522_2024_11_15_0.csv;1000818;18391
2024.11.15 12:56:06;C:\Program Files (x86)\Lolly\DATA\data_92245489_2024_11_15_0.csv;983842;18391
2024.11.15 12:57:13;C:\Program Files (x86)\Lolly\DATA\data_92245490_2024_11_15_0.csv;982973;18391
2024.11.15 13:02:50;C:\Program Files (x86)\Lolly\DATA\data_92245497_2024_11_15_0.csv;965322;18392
2024.11.15 13:06:36;C:\Program Files (x86)\Lolly\DATA\data_92245496_2024_11_15_0.csv;988107;18392
2024.11.15 13:08:34;C:\Program Files (x86)\Lolly\DATA\data_92245498_2024_11_15_0.csv;15;1
2024.11.15 13:10:17;C:\Program Files (x86)\Lolly\DATA\data_92245498_2024_11_15_1.csv;988017;18392
2024.11.15 13:17:06;C:\Program Files (x86)\Lolly\DATA\data_92245499_2024_11_15_0.csv;996045;18393
2024.11.21 10:52:37;C:\Program Files (x86)\Lolly\DATA\data_92245509_2024_11_21_0.csv;981930;18959
2024.11.21 10:56:07;C:\Program Files (x86)\Lolly\DATA\data_92245511_2024_11_21_0.csv;1012947;18960
2024.11.21 10:58:45;C:\Program Files (x86)\Lolly\DATA\data_92245510_2024_11_21_0.csv;1013467;18960
2024.11.21 11:00:20;C:\Program Files (x86)\Lolly\DATA\data_92245495_2024_11_21_0.csv;1000642;18960
2024.11.21 11:01:38;C:\Program Files (x86)\Lolly\DATA\data_92245507_2024_11_21_0.csv;1012389;18960
2024.11.21 11:03:04;C:\Program Files (x86)\Lolly\DATA\data_92245506_2024_11_21_0.csv;1012777;18960
2024.11.21 11:04:47;C:\Program Files (x86)\Lolly\DATA\data_92245512_2024_11_21_0.csv;1012505;18960
2024.11.21 11:05:49;C:\Program Files (x86)\Lolly\DATA\data_92245513_2024_11_21_0.csv;1012762;18960
2024.11.21 11:07:40;C:\Program Files (x86)\Lolly\DATA\data_92245514_2024_11_21_0.csv;1013110;18960
2024.11.21 11:08:34;C:\Program Files (x86)\Lolly\DATA\data_92245515_2024_11_21_0.csv;1011751;18960
2024.12.05 11:30:21;C:\Program Files (x86)\Lolly\DATA\data_92245500_2024_12_05_0.csv;1103562;20306
2024.12.05 11:43:12;C:\Program Files (x86)\Lolly\DATA\data_92245499_2024_12_05_0.csv;1103443;20306
2024.12.05 11:53:08;C:\Program Files (x86)\Lolly\DATA\data_92245498_2024_12_05_0.csv;1095325;20307
2024.12.05 11:55:44;C:\Program Files (x86)\Lolly\DATA\data_92245496_2024_12_05_0.csv;1095460;20307
2024.12.05 12:00:27;C:\Program Files (x86)\Lolly\DATA\data_92245497_2024_12_05_0.csv;206330;4103
2024.12.05 12:01:50;C:\Program Files (x86)\Lolly\DATA\data_92245497_2024_12_05_1.csv;1095776;20307
2024.12.05 12:06:10;C:\Program Files (x86)\Lolly\DATA\data_92245488_2024_12_05_0.csv;1090560;20308
2024.12.05 12:09:44;C:\Program Files (x86)\Lolly\DATA\data_92245487_2024_12_05_0.csv;1079777;20308
