ts,2788 PIPO tomst,2788 PIPO temp,2789 PIPO tomst,2789 PIPO temp,2784 PIPO tomst,2784 PIPO temp,2778 PIPO tomst,2778 PIPO temp,2783 PIPO tomst,2783 PIPO temp,2796 PIPO tomst,2796 PIPO temp,2786 PIPO tomst,2786 PIPO temp,2782 PIPO tomst,2782 PIPO temp,2793 PIPO tomst,2793 PIPO temp,2792 PIPO tomst,2792 PIPO temp,PSAP 2 tomst,PSAP 2 temp,PSAP 6 tomst,PSAP 6 temp,PSAP 3 tomst,PSAP 3 temp,PSAP 7 tomst,PSAP 7 temp,HR5 tomst,HR5 temp
2024.06.13 02:30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1248,32.0625
2024.06.13 02:45,,,,,,,,,,,,,,,,,,,,,1918,30.75,2469,31,,,2645,32.5,1248,32.5
2024.06.13 03:00,,,,,,,,,,,,,,,,,,,,,1917,28.125,2467,28.0625,4867,28.75,2644,28.125,1248,28.625
2024.06.13 03:15,,,,,,,,,,,,,,,,,,,,,1916,27.25,2467,27.25,4866,27.375,2644,27.3125,1248,27.3125
2024.06.13 03:30,,,,,,,,,,,,,,,,,,,,,1915,27.5625,2466,27.625,4866,27.75,2644,27.625,1248,27.5
2024.06.13 03:45,,,,,,,,,,,,,,,,,,,,,1915,27.6875,2466,27.625,4865,27.5,2644,27.625,1248,27.625
2024.06.13 04:00,,,,,,,,,,,,,,,,,,,,,1914,27,2465,27,4865,26.875,2644,26.875,1248,26.75
2024.06.13 04:15,,,,,,,,,,,,,,,,,,,,,1914,26.5625,2464,26.5,4864,26.4375,2644,26.25,1248,26.3125
2024.06.13 04:30,,,,,,,,,,,,,,,,,,,,,1914,27.125,2464,26.8125,4864,26.875,2644,26.625,1248,28.875
2024.06.13 04:45,,,,,,,,,,,,,,,,,,,,,1912,27.875,2463,27.875,4864,27.75,2643,27.375,1248,29.25
2024.06.13 05:00,,,,,,,,,,,,,,,,,,,,,1912,27.5,2462,27.75,4864,27.5625,2643,27.125,1248,27.75
2024.06.13 05:15,,,,,,,,,,,,,,,,,,,,,1912,27.25,2462,27.125,4863,27.1875,2643,26.9375,1248,27.25
2024.06.13 05:30,,,,,,,,,,,,,,,,,,,,,1911,28.625,2461,27.6875,4862,29.125,2643,27.5,1248,27.75
2024.06.13 05:45,,,,,,,,,,,,,,,,,,,,,1911,29.75,2461,28.25,4862,30.3125,2643,28.25,1248,28.5
2024.06.13 06:00,,,,,,,,,,,,,,,,,,,,,1910,28.125,2460,27.5,4859,28.3125,2643,27.375,1248,27.875
2024.06.13 06:15,,,,,,,,,,,,,,,,,,,,,1910,27.25,2460,26.9375,4858,27.125,2643,26.8125,1248,27.875
2024.06.13 06:30,,,,,,,,,,,,,,,,,,,,,1910,27.875,2460,27.6875,4858,27.625,2642,27.625,1248,28.625
2024.06.13 06:45,,,,,,,,,,,,,,,,,,,,,1910,27.625,2459,27.75,4858,27.875,2642,27.75,1248,30.25
2024.06.13 07:00,,,,,,,,,,,,,,,,,,,,,1910,27.5,2459,27.375,4858,27.4375,2641,27.25,1248,27.9375
2024.06.13 07:15,,,,,,,,,,,,,,,,,,,,,1909,26.375,2458,26.25,4857,26.125,2641,26.125,1248,26.125
2024.06.13 07:30,,,,,,,,,,,,,,,,,,,,,1909,24.875,2458,24.75,4856,24.6875,2641,24.625,1248,24.625
2024.06.13 07:45,,,,,,,,,,,,,,,,,,,,,1909,23.125,2457,23,4855,22.8125,2641,22.75,1249,23
2024.06.13 08:00,,,,,,,,,,,,,,,,,,,,,1909,21.8125,2457,21.75,4855,21.625,2641,21.5,1250,21.75
2024.06.13 08:15,,,,,,,,,,,,,,,,,,,,,1909,20.5,2457,20.4375,4854,20.3125,2641,20.25,1250,20.375
2024.06.13 08:30,,,,,,,,,,,,,,,,,,,,,1909,19.5,2457,19.375,4853,19.375,2641,19.3125,1250,19.3125
2024.06.13 08:45,,,,,,,,,,,,,,,,,,,,,1909,19,2457,18.875,4853,18.8125,2641,18.8125,1250,18.75
2024.06.13 09:00,,,,,,,,,,,,,,,,,,,,,1909,18.4375,2457,18.3125,4853,18.25,2641,18.25,1251,18
2024.06.13 09:15,,,,,,,,,,,,,,,,,,,,,1909,18,2457,17.875,4853,17.75,2641,17.8125,1251,17.8125
2024.06.13 09:30,,,,,,,,,,,,,,,,,,,,,1909,18,2457,17.8125,4853,17.75,2641,17.75,1251,17.625
2024.06.13 09:45,,,,,,,,,,,,,,,,,,,,,1909,18,2457,17.875,4853,17.8125,2641,18,1251,17.5625
2024.06.13 10:00,,,,,,,,,,,,,,,,,,,,,1909,18.9375,2457,18.8125,4853,18.5625,2641,18.6875,1251,18.75
2024.06.13 10:15,,,,,,,,,,,,,,,,,,,,,1909,17.875,2457,17.75,4853,17.625,2641,17.5625,1251,17.5
2024.06.13 10:30,,,,,,,,,,,,,,,,,,,,,1909,16.5625,2457,16.4375,4853,16.3125,2641,16.25,1251,16.25
2024.06.13 10:45,,,,,,,,,,,,,,,,,,,,,1909,16.125,2457,16,4853,15.875,2641,15.875,1251,15.8125
2024.06.13 11:00,,,,,,,,,,,,,,,,,,,,,1909,15.625,2457,15.5,4853,15.375,2642,15.375,1251,15.25
2024.06.13 11:15,,,,,,,,,,,,,,,,,,,,,1909,15.125,2457,15.0625,4853,14.8125,2642,14.8125,1251,14.8125
2024.06.13 11:30,,,,,,,,,,,,,,,,,,,,,1910,14.875,2457,14.625,4852,14.625,2642,14.5625,1252,14.625
2024.06.13 11:45,,,,,,,,,,,,,,,,,,,,,1910,14.875,2457,14.75,4853,14.625,2642,14.6875,1252,14.75
2024.06.13 12:00,,,,,,,,,,,,,,,,,,,,,1910,15.125,2457,14.875,4853,14.9375,2642,14.875,1252,15
2024.06.13 12:15,,,,,,,,,,,,,,,,,,,,,1910,15.125,2457,14.875,4853,14.875,2642,14.875,1252,15
2024.06.13 12:30,,,,,,,,,,,,,,,,,,,,,1910,15,2457,14.875,4853,14.8125,2642,14.75,1252,14.75
2024.06.13 12:45,,,,,,,,,,,,,,,,,,,,,1910,14.5625,2457,14.375,4852,14.3125,2642,14.3125,1251,14.375
2024.06.13 13:00,,,,,,,,,,,,,,,,,,,,,1910,14.4375,2457,14.25,4853,14.25,2643,14.25,1252,14.0625
2024.06.13 13:15,,,,,,,,,,,,,,,,,,,,,1911,14.25,2457,14.125,4853,14,2643,14,1252,14.0625
2024.06.13 13:30,,,,,,,,,,,,,,,,,,,,,1911,13.9375,2457,13.75,4853,13.75,2643,13.625,1252,13.75
2024.06.13 13:45,,,,,,,,,,,,,,,,,,,,,1911,13.75,2457,13.5,4853,13.5,2643,13.4375,1252,13.5625
2024.06.13 14:00,,,,,,,,,,,,,,,,,,,,,1911,13.4375,2458,13.25,4853,13.125,2643,13.0625,1252,13.25
2024.06.13 14:15,,,,,,,,,,,,,,,,,,,,,1911,13.375,2458,13.25,4853,13.0625,2643,13.0625,1252,13.25
2024.06.13 14:30,,,,,,,,,,,,,,,,,,,,,1912,13.5625,2458,13.4375,4853,13.25,2643,13.25,1252,13.4375
2024.06.13 14:45,,,,,,,,,,,,,,,,,,,,,1912,13.8125,2458,13.625,4853,13.625,2643,13.625,1252,13.5
2024.06.13 15:00,,,,,,,,,,,,,,,,,,,,,1913,15.125,2459,15,4853,14.75,2643,15,1252,15
2024.06.13 15:15,,,,,,,,,,,,,,,,,,,,,1915,16.125,2460,16,4854,15.8125,2643,15.875,1252,16.25
2024.06.13 15:30,,,,,,,,,,,,,,,,,,,,,1915,16.5,2460,16.375,4854,16.25,2643,16.25,1252,16.9375
2024.06.13 15:45,,,,,,,,,,,,,,,,,,,,,1916,16.125,2460,15.9375,4854,15.875,2643,15.875,1252,16.5
2024.06.13 16:00,,,,,,,,,,,,,,,,,,,,,1916,15.875,2460,15.75,4854,15.625,2643,15.625,1252,16.4375
2024.06.13 16:15,,,,,,,,,,,,,,,,,,,,,1916,15.75,2461,15.625,4854,15.5,2643,15.4375,1252,15.625
2024.06.13 16:30,,,,,,,,,,,,,,,,,,,,,1916,16.125,2461,16,4854,15.9375,2643,15.75,1252,15.9375
2024.06.13 16:45,,,,,,,,,,,,,,,,,,,,,1916,15.375,2461,15.25,4855,15.25,2643,15.125,1252,14.625
2024.06.13 17:00,,,,,,,,,,,,,,,,,,,,,1916,15.125,2461,15,4855,14.875,2643,14.8125,1252,14.4375
2024.06.13 17:15,,,,,,,,,,,,,,,,,,,,,1916,14.625,2461,14.5,4855,14.5,2643,14.375,1252,13.375
2024.06.13 17:30,,,,,,,,,,,,,,,,,,,,,1916,13.25,2462,13.125,4855,13.125,2644,13,1252,12.6875
2024.06.13 17:45,,,,,,,,,,,,,,,,,,,,,1917,12.4375,2462,12.3125,4856,12.3125,2644,12.1875,1252,12.125
2024.06.13 18:00,,,,,,,,,,,,,,,,,,,,,1917,12,2462,11.875,4856,11.875,2644,11.8125,1253,11.75
2024.06.13 18:15,,,,,,,,,,,,,,,,,,,,,1917,11.875,2462,11.625,4856,11.5,2645,11.5,1253,11.6875
2024.06.13 18:30,,,,,,,,,,,,,,,,,,,,,1917,11.8125,2462,11.625,4856,11.625,2645,11.625,1253,11.5
2024.06.13 18:45,,,,,,,,,,,,,,,,,,,,,1918,12.5625,2462,12.375,4857,12.1875,2645,12.375,1253,12.25
2024.06.13 19:00,,,,,,,,,,,,,,,,,,,,,1918,13.75,2463,13.625,4858,13.5,2644,13.625,1253,13
2024.06.13 19:15,,,,,,,,,,,,,,,,,,,,,1918,14,2463,13.75,4858,13.5,2644,13.75,1253,13.5625
2024.06.13 19:30,,,,,,,,,,,,,,,,,,,,,1918,15.0625,2463,14.875,4858,14.75,2644,14.875,1253,14.5
