tomst time zone adjustment,HR5 tomst temp,HR5 tomst value,TOMST raw time,EMS raw time,EMS value,EMS temp,,,Year,Month,Day,Hour,Minute,Second,Tower mean temp
,22.5,1697,2024.09.15 00:00,,,,,,,,,,,,
,18.6875,1696,2024.09.15 01:00,,,,,,,,,,,,
,13.875,1696,2024.09.15 02:00,,,,,,,,,,,,
,12.3125,1696,2024.09.15 03:00,,,,,,,,,,,,
,11.375,1696,2024.09.15 04:00,,,,,,,,,,,,
,10.75,1696,2024.09.15 05:00,,,,,,,,,,,,
2024.09.15 00:00,10.25,1696,2024.09.15 06:00,9/15/24 0:00,12.42570686,10.08984375,,,2024,9,15,0,0,0,13.70567
2024.09.15 01:00,9.6875,1696,2024.09.15 07:00,9/15/24 1:00,12.42570686,9.5,,,2024,9,15,1,0,0,13.186517
2024.09.15 02:00,9.375,1696,2024.09.15 08:00,9/15/24 2:00,12.43054867,9.171875,,,2024,9,15,2,0,0,11.99622
2024.09.15 03:00,9.5,1696,2024.09.15 09:00,9/15/24 3:00,12.43635845,9.359375,,,2024,9,15,3,0,0,14.516268
2024.09.15 04:00,9.0625,1696,2024.09.15 10:00,9/15/24 4:00,12.44313717,8.8984375,,,2024,9,15,4,0,0,13.512461
2024.09.15 05:00,9,1696,2024.09.15 11:00,9/15/24 5:00,12.44991589,8.84765625,,,2024,9,15,5,0,0,13.0246
2024.09.15 06:00,9.25,1696,2024.09.15 12:00,9/15/24 6:00,12.45669365,8.90234375,,,2024,9,15,6,0,0,12.31985
2024.09.15 07:00,8.625,1696,2024.09.15 13:00,9/15/24 7:00,12.46153545,8.5390625,,,2024,9,15,7,0,0,11.878384
2024.09.15 08:00,9.625,1696,2024.09.15 14:00,9/15/24 8:00,12.46347237,9.421875,,,2024,9,15,8,0,0,12.15719
2024.09.15 09:00,13.625,1696,2024.09.15 15:00,9/15/24 9:00,12.46734524,13.1484375,,,2024,9,15,9,0,0,15.624336
2024.09.15 10:00,19.75,1696,2024.09.15 16:00,9/15/24 10:00,12.47218704,19.0078125,,,2024,9,15,10,0,0,19.452525
2024.09.15 11:00,19.5,1695,2024.09.15 17:00,9/15/24 11:00,12.46928215,20.44921875,,,2024,9,15,11,0,0,20.153621
2024.09.15 12:00,21.9375,1695,2024.09.15 18:00,9/15/24 12:00,12.45669365,22.76171875,,,2024,9,15,12,0,0,19.91382
2024.09.15 13:00,20,1695,2024.09.15 19:00,9/15/24 13:00,12.44797897,21.38671875,,,2024,9,15,13,0,0,18.893519
2024.09.15 14:00,20.125,1695,2024.09.15 20:00,9/15/24 14:00,12.4392643,20.96875,,,2024,9,15,14,0,0,18.339414
2024.09.15 15:00,21.75,1694,2024.09.15 21:00,9/15/24 15:00,12.35501862,21.62109375,,,2024,9,15,15,0,0,18.450656
