"","SerialNo","TreeName","OriginalValue","ConvertedValue1","Increment1","Increment2","Increment3","Increment4","Site"
"1","92245520","HR5",1248,-8.42241985269399,0,0,0,0,"Vcp"
"2","92245519","SAP7",2645,371.129855444516,-0.271690962990135,0,0,0,"Vcp"
"3","92245518","HR1SAP3",4867,974.827175208582,-0.271690962990078,0,-0.271690962990192,0,"Vcp"
"4","92245517","SAP6",2469,323.312245958253,-0.54338192598027,0,-0.271690962990135,0,"Vcp"
"5","92245516","SAP2",3497,602.610555912105,-429.000030561413,-0.271690962990135,-0.271690962990135,-0.271690962990107,"Vcp"
"6","92245480","PIPO 2792",3117,499.367989975857,-0.271690962990135,-0.54338192598027,0,-0.543381925980214,"Vcp"
"7","92245479","PIPO 2793",2405,305.924024326885,0,-0.271690962990135,0,0,"Vcp"
"8","92245478","PIPO 2782",3161,511.322392347422,-0.271690962990135,0,0,0,"Vcp"
"9","92245477","PIPO 2786",3387,572.724549983191,-0.815072888970462,0,-0.271690962990078,-0.54338192598027,"Vcp"
"10","92245476","PIPO 2796",2466,322.497173069283,0,-0.271690962990135,-0.815072888970349,-0.54338192598027,"Vcp"
"11","92245475","PIPO 2783",4165,784.100119189511,0,0,0,0.271690962990192,"Vcp"
"12","92245474","PIPO 2778",4425,854.739769566945,0,0,-0.271690962990078,0,"Vcp"
"13","92245473","PIPO 2784",3614,634.39839858195,0,-0.54338192598027,0,0,"Vcp"
"14","92245472","PIPO 2789",2540,342.602304330552,-0.271690962990135,-0.271690962990135,0,-0.271690962990135,"Vcp"
"15","92245471","PIPO 2788",5522,1152.78475596712,-0.271690962990306,-0.271690962990078,-0.271690962990078,-0.543381925980384,"Vcp"
"16","92245522","ABCO 2772",4358,836.536475046606,0,0,-0.271690962990192,0,"Vcs"
"17","92245521","PIPO 2795",3458,592.01460835549,0,-0.271690962990078,0,-0.54338192598027,"Vcs"
"18","92245505","PSME 2766 ",3887,708.570031478256,0,0,-0.271690962990078,0,"Vcs"
"19","92245504","ABCO 2770",4241,804.748632376761,0,0,-0.271690962990192,0,"Vcs"
"20","92245503","PIPO 2794",3589,627.606124507197,0,0,0,0,"Vcs"
"21","92245502","POTR 2777",1490,57.3267931909172,-0.543381925980256,-0.271690962990128,-0.271690962990128,-0.543381925980256,"Vcs"
"22","92245501","PSME 3",1285,1.63014577794077,-347.764432627365,347.764432627365,-347.764432627365,347.764432627365,"Vcs"
"23","92245500","SAPPOTR 4",3781,679.770789401302,-10.0525656306347,0.54338192598027,0,0,"Vcs"
"24","92245499","POTR 2",3061,484.153296048409,0,0,-0.271690962990078,-0.271690962990135,"Vcs"
"25","92245498","ABCO 1",2612,362.164053665842,-0.271690962990135,-0.271690962990135,0,-0.271690962990135,"Vcs"
